SexAge,FamilySize,TravelTimeIndex,StudyTimeIndex,Romantic,Absences,AverageGrade
"M: male, F: female","GT3: greater than or equal to 3, LT3: less than 3","1: < 15 mins, 2: 15–30 mins, 3: 30–60 mins, 4: > 60 mins","Weekly study time.  1: < 2 hrs, 2: 2–5 hrs, 3: 5–10 hrs, 4: > 10 hrs",In a romantic relationship,Number of school absences,Final grade
"F,18",GT3,2,2,no,6,5.666666667
"F,17",GT3,1,2,no,4,5.333333333
"F,15",LE3,1,2,no,10,8.333333333
"F,15",GT3,1,3,yes,2,14.66666667
"F,16",GT3,1,2,no,4,8.666666667
"M,16",LE3,1,2,no,10,15
"M,16",LE3,1,2,no,0,11.66666667
"F,17",GT3,2,2,no,6,5.666666667
"M,15",LE3,1,2,no,0,17.66666667
"M,15",GT3,1,2,no,0,14.66666667
"F,15",GT3,1,2,no,0,9
"F,15",GT3,3,3,no,4,11.33333333
"M,15",LE3,1,1,no,2,14
"M,15",GT3,2,2,no,2,10.33333333
"M,15",GT3,1,3,yes,0,15.33333333
"F,16",GT3,1,1,no,4,14
"F,16",GT3,1,3,no,6,13.66666667
"F,16",GT3,3,2,no,4,9.333333333
"M,17",GT3,1,1,no,16,5.333333333
"M,16",LE3,1,1,no,4,9.333333333
"M,15",GT3,1,2,no,0,14
"M,15",GT3,1,1,no,0,14
"M,16",LE3,1,2,no,2,15.33333333
"M,16",LE3,2,2,no,0,12.66666667
"F,15",GT3,1,3,no,2,9
"F,16",GT3,1,1,no,14,7.666666667
"M,15",GT3,1,1,no,2,11.66666667
"M,15",GT3,1,1,no,4,15.33333333
"M,16",LE3,1,2,no,4,11
"M,16",GT3,1,2,yes,16,11
"M,15",GT3,1,2,no,0,10.66666667
"M,15",GT3,2,2,no,0,16.66666667
"M,15",GT3,1,2,yes,0,16.33333333
"M,15",LE3,1,2,no,0,10
"M,16",GT3,1,1,no,0,13.66666667
"F,15",GT3,2,1,no,0,7
"M,15",LE3,1,3,no,2,16.33333333
"M,16",GT3,2,3,yes,7,15.33333333
"F,15",GT3,1,3,no,2,11.66666667
"F,15",GT3,1,1,no,8,13.33333333
"F,16",LE3,2,2,yes,25,9.333333333
"M,15",LE3,1,1,yes,8,12
"M,15",GT3,1,2,no,2,18.33333333
"M,15",GT3,1,1,no,0,9
"F,16",LE3,2,2,no,14,9.666666667
"F,15",LE3,1,2,yes,8,7.333333333
"F,16",LE3,1,2,no,12,11.33333333
"M,16",GT3,1,4,no,4,19.33333333
"M,15",GT3,1,2,no,2,14.66666667
"F,15",GT3,1,2,no,2,7
"F,16",LE3,3,2,no,2,12.66666667
"F,15",LE3,1,2,no,2,12.33333333
"M,15",LE3,2,1,no,6,10.66666667
"F,15",GT3,1,1,no,0,9.666666667
"F,15",LE3,1,1,no,6,12
"F,16",GT3,1,2,yes,8,9
"F,15",GT3,1,2,no,0,14.66666667
"M,15",GT3,1,2,no,4,14.66666667
"M,15",LE3,1,2,no,2,9.333333333
"F,16",GT3,1,2,no,2,15.66666667
"F,16",GT3,1,2,no,6,10.66666667
"F,16",GT3,4,1,yes,6,9.666666667
"F,16",LE3,1,2,no,4,9
"F,16",GT3,1,3,no,2,9.333333333
"F,15",LE3,1,2,yes,0,10
"F,16",LE3,3,2,no,2,15.33333333
"M,15",GT3,1,4,yes,4,12.66666667
"F,16",GT3,1,4,no,4,6.666666667
"F,15",LE3,2,2,no,2,8.333333333
"F,15",LE3,2,4,no,12,16
"M,16",GT3,2,4,no,0,14.33333333
"M,15",GT3,1,4,no,0,10
"F,15",GT3,1,2,yes,2,6.333333333
"M,16",GT3,1,1,no,2,12.66666667
"F,16",GT3,1,2,no,54,11.33333333
"M,15",GT3,1,2,no,6,9.333333333
"M,15",GT3,2,4,no,8,10.66666667
"F,16",GT3,1,4,yes,0,11
"M,17",GT3,2,1,no,2,8.666666667
"F,16",GT3,1,2,no,12,5
"M,15",GT3,1,1,yes,2,11.33333333
"M,15",GT3,1,3,no,4,10.66666667
"F,15",LE3,1,2,no,10,6.333333333
"M,15",LE3,2,2,no,4,15
"F,15",GT3,1,2,no,2,9.666666667
"F,15",GT3,2,2,yes,6,8
"F,16",LE3,1,2,no,4,7
"F,15",GT3,1,3,no,4,13.66666667
"M,16",GT3,2,2,no,12,10.33333333
"M,16",LE3,1,2,no,18,7
"F,16",GT3,1,3,yes,0,7.333333333
"F,15",GT3,1,1,no,4,17
"F,16",LE3,1,2,no,4,6.333333333
"F,16",GT3,2,2,no,0,10.33333333
"M,15",LE3,1,4,no,6,12.66666667
"F,15",GT3,2,4,no,2,9
